order_id,order_date,customer_id,customer_city,customer_segment,product_category,product_name,quantity,unit_price,discount,shipping_mode,is_returned
1051,6/1/2023,C112,Peshawar,Corporate,Office Supplies,Shredder Machine,1,7800,0.1,Standard,0
1052,6/4/2023,C310,Quetta,Consumer,Clothing,Linen Trousers,2,3100,0,Economy,0
1053,6/7/2023,C156,Islamabad,Home Office,Electronics,Noise Cancel Headphones,1,18500,0.05,Express,0
1054,6/10/2023,C034,Lahore,Corporate,Furniture,Reception Sofa,1,42000,0.15,Standard,0
1055,6/13/2023,C290,Karachi,Consumer,Food & Beverage,Green Smoothie Mix,4,780,0,Economy,0
1056,6/16/2023,C092,Peshawar,Consumer,Electronics,Action Camera,1,28000,0.05,Express,1
1057,6/19/2023,C178,Islamabad,Consumer,Clothing,Yoga Pants,2,1900,0.1,Standard,0
1058,6/22/2023,C067,Lahore,Corporate,Office Supplies,Laser Printer,1,22000,0,Standard,0
1059,6/25/2023,C388,Islamabad,Home Office,Food & Beverage,Herbal Tea Set,2,950,0,Economy,0
1060,6/28/2023,C201,Karachi,Consumer,Electronics,Drone Mini,1,38000,0.1,Express,0
1061,7/2/2023,C045,Lahore,Consumer,Clothing,Athletic Shorts,3,1200,0.05,Economy,0
1062,7/5/2023,C112,Peshawar,Corporate,Furniture,Standing Desk,1,48000,0.1,Standard,0
1063,7/8/2023,C310,Quetta,Consumer,Electronics,Smart TV 43in,1,85000,0.05,Express,0
1064,7/11/2023,C156,Islamabad,Home Office,Office Supplies,Label Maker,1,3500,0,Economy,0
1065,7/14/2023,C034,Lahore,Corporate,Food & Beverage,Office Snack Box,5,1100,0,Economy,0
1066,7/17/2023,C290,Karachi,Consumer,Clothing,Rain Jacket,1,4400,0.15,Standard,0
1067,7/20/2023,C092,Peshawar,Consumer,Electronics,VR Headset,1,55000,0.05,Express,0
1068,7/23/2023,C178,Islamabad,Consumer,Furniture,Bedside Table,2,6800,0.1,Standard,0
1069,7/26/2023,C067,Lahore,Corporate,Office Supplies,Paper Shredder,1,9200,0,Standard,0
1070,7/29/2023,C388,Islamabad,Home Office,Electronics,iPad Mini,1,68000,0.05,Express,0
1071,8/1/2023,C201,Karachi,Consumer,Food & Beverage,Protein Bar 24pk,2,2400,0,Economy,0
1072,8/4/2023,C045,Lahore,Consumer,Clothing,Swim Shorts,2,1500,0.05,Economy,0
1073,8/7/2023,C112,Peshawar,Corporate,Electronics,Conference Speakerphone,1,12000,0,Standard,0
1074,8/10/2023,C310,Quetta,Consumer,Furniture,Wardrobe 3-door,1,38000,0.15,Standard,1
1075,8/13/2023,C156,Islamabad,Home Office,Office Supplies,Desk Pad XL,1,1800,0,Economy,0
1076,8/16/2023,C034,Lahore,Corporate,Food & Beverage,Mineral Water 24pk,4,600,0,Economy,0
1077,8/19/2023,C290,Karachi,Consumer,Clothing,Leather Belt,2,1300,0.1,Standard,0
1078,8/22/2023,C092,Peshawar,Consumer,Electronics,Portable Projector,1,32000,0.05,Express,0
1079,8/25/2023,C178,Islamabad,Consumer,Furniture,Coffee Table,1,14500,0.1,Standard,0
1080,8/28/2023,C067,Lahore,Corporate,Office Supplies,Binding Machine,1,5600,0,Economy,0
1081,9/1/2023,C388,Islamabad,Home Office,Electronics,Smart Doorbell,1,8500,0.05,Express,0
1082,9/4/2023,C201,Karachi,Consumer,Clothing,Backpack Travel,1,6200,0.1,Standard,0
1083,9/7/2023,C045,Lahore,Consumer,Food & Beverage,Dried Fruits Mix,3,900,0,Economy,0
1084,9/10/2023,C112,Peshawar,Corporate,Furniture,Visitor Chairs 4pk,1,16000,0.15,Standard,0
1085,9/13/2023,C310,Quetta,Consumer,Electronics,Fitness Tracker,1,9800,0.05,Express,0
1086,9/16/2023,C156,Islamabad,Home Office,Office Supplies,Laminator A4,1,4100,0,Economy,0
1087,9/19/2023,C034,Lahore,Corporate,Food & Beverage,Energy Drinks 24pk,3,1800,0,Economy,0
1088,9/22/2023,C290,Karachi,Consumer,Clothing,Formal Trousers,2,2900,0.05,Standard,0
1089,9/25/2023,C092,Peshawar,Consumer,Electronics,Mirrorless Camera,1,95000,0.05,Express,0
1090,9/28/2023,C178,Islamabad,Consumer,Furniture,Dining Chairs 2pk,1,11000,0.1,Standard,0
1091,10/2/2023,C067,Lahore,Corporate,Office Supplies,Projector Screen,1,7500,0,Standard,0
1092,10/5/2023,C388,Islamabad,Home Office,Electronics,Security Camera,2,6400,0.05,Express,0
1093,10/8/2023,C201,Karachi,Consumer,Clothing,Winter Coat,1,8900,0.15,Standard,0
1094,10/11/2023,C045,Lahore,Consumer,Food & Beverage,Oats Premium 5kg,2,1200,0,Economy,0
1095,10/14/2023,C112,Peshawar,Corporate,Furniture,Sofa 3-seater,1,62000,0.1,Standard,0
1096,10/17/2023,C310,Quetta,Consumer,Electronics,Gaming Console,1,78000,0.05,Express,1
1097,10/20/2023,C156,Islamabad,Home Office,Office Supplies,Staple Remover Set,3,240,0,Economy,0
1098,10/23/2023,C034,Lahore,Corporate,Food & Beverage,Coffee Machine,1,28000,0.05,Standard,0
1099,10/26/2023,C290,Karachi,Consumer,Clothing,Hoodie Fleece,2,3300,0.1,Economy,0
1100,10/29/2023,C092,Peshawar,Consumer,Electronics,Mechanical Keyboard,1,7200,0.05,Express,0
